lat,lon,l2,l3,l4,l5,l6
40.641946999999995,-73.916619299999994,0,2,3,4,0
40.857898200000001,-73.9093065,1,1,0,1,1
40.632294299999998,-73.966774999999998,0,2,3,4,0
40.624854999999997,-73.991945099999995,0,2,3,4,0
40.695126500000001,-73.7820021,1,0,1,0,5
40.722549900000004,-74.006298999999999,0,2,3,3,3
40.649424200000006,-73.8967715,0,2,3,4,2
40.846781200000002,-73.883789500000006,1,1,0,1,1
40.730954100000005,-73.990434900000011,0,2,3,3,3
40.729500700000003,-73.845705299999992,1,0,1,0,2
40.701931600000002,-73.906207899999998,0,2,3,4,2
40.741678899999997,-73.867556800000003,1,0,1,0,2
40.8446724,-73.885661700000014,1,1,0,1,1
40.698586499999998,-73.814181399999995,1,0,1,0,5
40.828533399999998,-73.906918300000001,1,1,0,1,1
40.595135900000002,-73.753201599999997,1,0,1,0,5
40.637430100000003,-73.979476900000009,0,2,3,4,0
40.6765981,-73.930383800000001,0,2,3,4,2
40.614595200000004,-74.002614900000012,0,2,3,4,0
40.722933700000006,-73.988639400000011,0,2,3,3,3
40.862768100000004,-73.843436700000012,1,1,0,1,1
40.558022299999998,-74.137394599999993,0,2,2,2,4
40.751120799999995,-73.763079700000006,1,0,1,0,5
40.707597700000001,-73.940522799999997,0,2,3,3,2
40.687418299999997,-73.918423000000004,0,2,3,4,2
40.701961700000005,-73.9440046,0,2,3,3,2
40.654486900000002,-73.895206700000003,0,2,3,4,2
40.618949999999998,-73.92689,0,2,3,4,0
40.739551800000001,-73.9453046,0,1,3,3,3
40.760478399999997,-73.793411500000005,1,0,1,0,5
40.738600299999995,-73.927241000000009,1,1,3,3,3
40.663432100000001,-73.740787400000002,1,0,1,0,5
40.649119499999998,-73.837386499999994,1,0,1,0,2
40.728370899999994,-73.871133499999999,1,0,1,0,2
40.8345141,-73.917704200000003,1,1,0,1,1
40.745168299999996,-73.821381099999996,1,0,1,0,5
40.746134699999999,-73.941708200000008,0,1,3,3,3
40.644431500000003,-73.929599400000001,0,2,3,4,0
40.667954600000002,-73.870064200000002,0,0,1,0,2
40.855069399999998,-73.86769240000001,1,1,0,1,1
40.808295399999999,-73.948820599999991,1,1,0,3,3
40.660598100000001,-73.920910400000011,0,2,3,4,0
40.8237126,-73.908926799999989,1,1,0,1,1
40.644135200000001,-73.934410299999996,0,2,3,4,0
40.755488200000002,-73.824717500000006,1,0,1,0,5
40.656610899999997,-73.930902099999997,0,2,3,4,0
40.610612599999996,-73.956704900000005,0,2,3,4,0
40.618312799999998,-74.069227599999991,0,2,2,2,4
40.5676287,-74.1126115,0,2,2,2,4
40.695357000000001,-73.932365700000005,0,2,3,4,2
40.698020100000001,-73.974986400000006,0,2,3,4,3
40.834972399999998,-73.894051500000003,1,1,0,1,1
40.736876099999996,-73.935636099999996,0,1,3,3,3
40.835052300000001,-73.926138099999989,1,1,0,1,1
40.614478300000002,-73.926400200000003,0,2,3,4,0
40.801155100000003,-73.959647500000003,1,1,0,3,3
40.650108099999997,-73.930206099999992,0,2,3,4,0
40.708090399999996,-73.920114599999991,0,2,3,3,2
40.810052800000001,-73.925143500000004,1,1,0,1,1
40.658453700000003,-73.754838000000007,1,0,1,0,5
40.806706700000007,-73.964849400000006,1,1,0,3,3
40.653291299999992,-73.949847700000007,0,2,3,4,0
40.712904200000004,-73.986927699999995,0,2,3,3,3
40.895428799999998,-73.844622099999995,1,1,0,1,1
40.611426999999999,-74.116844,0,2,2,2,4
40.868274600000007,-73.839887599999997,1,1,0,1,1
40.691645299999998,-73.981789699999993,0,2,3,4,0
40.669684100000005,-73.910741200000004,0,2,3,4,2
40.609539300000002,-73.956500300000002,0,2,3,4,0
40.731778999999996,-73.770108700000009,1,0,1,0,5
40.617381600000002,-73.965737900000008,0,2,3,4,0
40.621165099999999,-73.953531699999999,0,2,3,4,0
40.687003600000004,-73.828355400000007,1,0,1,0,5
